section,Authors,Author full names,Author(s) ID,Title,Year,Source title
Behaviour,Clissmann F.; Fiore-Donno A.M.; Hoppe B.; Kruger D.; Kahl T.; Unterseher M.; Schnittler M.,"Clissmann, Fionn (55676050300); Fiore-Donno, Anna Maria (6503939870); Hoppe, Bjorn (56058259300); Kruger, Dirk (10241433800); Kahl, Tiemo (28067823600); Unterseher, Martin (13402955100); Schnittler, Martin (6603806126)",55676050300; 6503939870; 56058259300; 10241433800; 28067823600; 13402955100; 6603806126,"First insight into dead wood protistan diversity: A molecular sampling of bright-spored Myxomycetes (Amoebozoa, slime-moulds) in decaying beech logs",2015,FEMS Microbiology Ecology
Behaviour,Lunde L.F.; Birkemoe T.; Kauserud H.; Boddy L.; Jacobsen R.M.; Morgado L.; Sverdrup-Thygeson A.; Maurice S.,"Lunde, Lisa Fagerli (57313519200); Birkemoe, Tone (6602847910); Kauserud, Håvard (6603575750); Boddy, Lynne (7006748996); Jacobsen, Rannveig M. (56937981900); Morgado, Luis (55956859300); Sverdrup-Thygeson, Anne (6602596964); Maurice, Sundy (36761354900)",57313519200; 6602847910; 6603575750; 7006748996; 56937981900; 55956859300; 6602596964; 36761354900,DNA metabarcoding reveals host-specific communities of arthropods residing in fungal fruit bodies,2022,Proceedings of the Royal Society B: Biological Sciences
Behaviour,Erlania; Bellgrove A.; Macreadie P.I.; Young M.A.; Holland O.J.; Clark Z.; Ierodiaconou D.; Carvalho R.C.; Kennedy D.; Miller A.D.,"Erlania (57979028300); Bellgrove, Alecia (6508186645); Macreadie, Peter I. (6503983109); Young, Mary A. (56443206900); Holland, Owen J. (57216458892); Clark, Zach (57260619500); Ierodiaconou, Daniel (6506897990); Carvalho, Rafael C. (55638007800); Kennedy, David (7403112489); Miller, Adam D. (55645705400)",57979028300; 6508186645; 6503983109; 56443206900; 57216458892; 57260619500; 6506897990; 55638007800; 7403112489; 55645705400,Patterns and drivers of macroalgal ‘blue carbon’ transport and deposition in near-shore coastal environments,2023,Science of the Total Environment
Behaviour,Stoeckle B.C.; Beggel S.; Kuehn R.; Geist J.,"Stoeckle, Bernhard C. (20735410600); Beggel, Sebastian (36558828600); Kuehn, Ralph (7005420725); Geist, Juergen (7006819886)",20735410600; 36558828600; 7005420725; 7006819886,Influence of stream characteristics and population size on downstream transport of freshwater mollusk environmental dna,2021,Freshwater Science
Behaviour,Gemmellaro M.D.; Lorusso N.S.; Domke R.; Kovalska K.M.; Hashim A.; Arevalo Mojica M.; O’Connor A.J.; Patel U.; Pate O.; Raise G.; Shumskaya M.,"Gemmellaro, M. Denise (57194829762); Lorusso, Nicholas Steven (57190799202); Domke, Rachel (58618092300); Kovalska, Kristina M. (58616730200); Hashim, Ayesha (58616456100); Arevalo Mojica, Maria (58616730300); O’Connor, Amanda Joy (58617265400); Patel, Urvi (58454476300); Pate, Olivia (58618364400); Raise, Gloria (58618092400); Shumskaya, Maria (16025699200)",57194829762; 57190799202; 58618092300; 58616730200; 58616456100; 58616730300; 58617265400; 58454476300; 58618364400; 58618092400; 16025699200,Assessment of Fungal Succession in Decomposing Swine Carcasses (Sus scrofa L.) Using DNA Metabarcoding,2023,Journal of Fungi
Behaviour,Solarz W.; Najberek K.; Wilk-Woźniak E.; Biedrzycka A.,"Solarz, Wojciech (6506097506); Najberek, Kamil (55843463900); Wilk-Woźniak, Elżbieta (6602357189); Biedrzycka, Aleksandra (22984297800)",6506097506; 55843463900; 6602357189; 22984297800,Raccoons foster the spread of freshwater and terrestrial microorganisms—Mammals as a source of microbial eDNA,2020,Diversity and Distributions
Behaviour,Shirouzu T.; Uno K.; Hosaka K.; Hosoya T.,"Shirouzu, Takashi (23036946900); Uno, Kunihiko (54976526400); Hosaka, Kentaro (12144151000); Hosoya, Tsuyoshi (7102016103)",23036946900; 54976526400; 12144151000; 7102016103,Early-diverging wood-decaying fungi detected using three complementary sampling methods,2016,Molecular Phylogenetics and Evolution
Behaviour,Stancanelli L.M.; Dercksen J.; Blom A.,"Stancanelli, Laura Maria (55324889300); Dercksen, Jelle (57211001031); Blom, Astrid (24170976100)",55324889300; 57211001031; 24170976100,Experimental Methodologyfor Investigating environmental DNA traces Spreading in Rivers,2022,Proceedings of the IAHR World Congress
Behaviour,Bensch H.M.; Tolf C.; Waldenström J.; Lundin D.; Zöttl M.,"Bensch, Hanna M. (57201186786); Tolf, Conny (21834953600); Waldenström, Jonas (7005795132); Lundin, Daniel (24173634500); Zöttl, Markus (52465017700)",57201186786; 21834953600; 7005795132; 24173634500; 52465017700,Freeze-drying can replace cold-chains for transport and storage of fecal microbiome samples,2022,PeerJ
Behaviour,Macgregor C.J.; Kitson J.J.N.; Fox R.; Hahn C.; Lunt D.H.; Pocock M.J.O.; Evans D.M.,"Macgregor, Callum J. (56471481300); Kitson, James J. N. (56559840600); Fox, Richard (14025403600); Hahn, Christoph (53063727600); Lunt, David H. (7006154339); Pocock, Michael J. O. (6701364942); Evans, Darren M. (8069736900)",56471481300; 56559840600; 14025403600; 53063727600; 7006154339; 6701364942; 8069736900,"Construction, validation, and application of nocturnal pollen transport networks in an agro-ecosystem: a comparison using light microscopy and DNA metabarcoding",2019,Ecological Entomology
