Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/04 12:17:44 PM GMT+3,Italy,researcher (academic),2-5 years,Technician,"Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Invertebrates,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:18:11 PM GMT+3,Switzerland,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Soil;Water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,2,2,1 - little development needed,5 - extensive development needed,2,4,4,4,4,4,Email
2023/09/04 12:26:51 PM GMT+3,Norway,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates;Micro-eukaryotes,2,4,2,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,Email
2023/09/04 12:27:47 PM GMT+3,Switzerland,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Invertebrates;Micro-eukaryotes;Prokaryotes,4,4,No idea,4,2,4,3,3,2,4,Email
2023/09/04 12:32:38 PM GMT+3,China,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Air;Water;Biofilm,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:38:35 PM GMT+3,Germany,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Invertebrates,2,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,3,4,Email
2023/09/04 12:39:27 PM GMT+3,Indonesia,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Sediment;Water,Invertebrates;Plants/Macroalgae,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 12:40:51 PM GMT+3,Spain,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,3,3,3,5 - extensive development needed,4,5 - extensive development needed,4,4,3,4,Email
2023/09/04 12:41:28 PM GMT+3,France,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates;Invertebrates,3,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,3,2,3,Email
2023/09/04 12:42:04 PM GMT+3,Japan,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Soil;Sediment;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,2,1 - little development needed,5 - extensive development needed,3,5 - extensive development needed,4,4,3,3,Email
